                      ,    SEQ,    PIPE-S,    PIPE-F,    PIPE-FBP
cycles                ,   1815,      4741,      2328,        2088
instructions          ,   1815,      1815,      1815,        1815
cycles: reorder       ,      1607 ,   3284 ,       2034 ,       1850 
instructions: reorder ,      1607 ,   1607 ,       1607 ,       1607
cycles: optimal       ,      1504,         3045 ,         1931 ,           1749
instructions: optimal ,      1504,         1504,         1504,           1504
