                      ,    SEQ,    PIPE-S,    PIPE-F,    PIPE-FBP
cycles                ,   2096 ,     5488 ,      2695 ,        2413
instructions          ,   2096 ,      2096 ,      2096 ,        2096
cycles: reorder       ,    1807,     3712 ,         2291 ,         2099 
instructions: reorder ,    1807,     1807,         1807,         1807
cycles: optimal       ,      1696,         3445 ,         2180,           1990
instructions: optimal ,      1696,         1696,         1696,           1696
