                      ,    SEQ,    PIPE-S,    PIPE-F,    PIPE-FBP
cycles                ,   2097,      5495,      2696,        2428
instructions          ,   2097,      2097,      2097,        2097
cycles: reorder       ,   1828 ,      3733 ,      2312,        2114 
instructions: reorder ,   1828 ,      1828 ,      1828 ,        1828
cycles: optimal       ,      1707 ,         3456 ,         3456 ,           3456
instructions: optimal ,      1707 ,         1707 ,         1707 ,           1707
